id,empresa_id,proveedor_id,categoria_id,suministro,calificacion_actual,nota_actual,proxima_evaluacion
ab227ed6-c9e8-5f96-b95b-ef14c6415f70,a6f1d8c3-6194-5804-ac16-a98cc205559d,95fddc60-7a9c-5a23-83d7-4dc685938166,27eab39b-d505-5d1f-85ff-615de00b8e9a,CALIBRACION Y VENTA DE EQUIPOS,confiable,75.0,2026-05-25
a2f80e04-02bf-505b-b2c0-ee3cdcdf0b95,a6f1d8c3-6194-5804-ac16-a98cc205559d,95fddc60-7a9c-5a23-83d7-4dc685938166,6bf4bdda-3739-51f4-be22-48b0e38ea47a,CALIBRACION Y VENTA DE EQUIPOS,confiable,75.0,2025-05-30
f10ffe15-cff0-5bd4-a41c-caa7f0653c9b,a6f1d8c3-6194-5804-ac16-a98cc205559d,1d3d4830-5b50-5116-bb9e-06b94005bb09,27eab39b-d505-5d1f-85ff-615de00b8e9a,SERVICIO DE CALIBRACIÓN DE INSTRUMENTOS DE MEDICIÓN,confiable,80.0,2026-05-25
fe5cee4a-4714-5af4-8b1a-20b47709339c,a6f1d8c3-6194-5804-ac16-a98cc205559d,1d3d4830-5b50-5116-bb9e-06b94005bb09,6bf4bdda-3739-51f4-be22-48b0e38ea47a,SERVICIO DE CALIBRACIÓN DE INSTRUMENTOS DE MEDICIÓN,confiable,80.0,2025-11-26
fb1c043c-571d-5f6a-b0db-04ff5bd072f6,a6f1d8c3-6194-5804-ac16-a98cc205559d,a2039bd8-2563-59ad-bdd6-b4db46e6afe7,6bf4bdda-3739-51f4-be22-48b0e38ea47a,ENSAYOS Y ANALISIS TECNICOS,confiable,80.0,2026-03-17
f5c22e48-3122-596f-8de6-bf93b3b0a5b2,a6f1d8c3-6194-5804-ac16-a98cc205559d,266ad55e-f04b-5859-9b2d-ec1463bfbeb9,27eab39b-d505-5d1f-85ff-615de00b8e9a,COMPRA DE MAQUINARIA,confiable,85.0,2026-03-11
893049e5-4003-50d6-883c-908aba7e79f6,a6f1d8c3-6194-5804-ac16-a98cc205559d,266ad55e-f04b-5859-9b2d-ec1463bfbeb9,6bf4bdda-3739-51f4-be22-48b0e38ea47a,COMPRA DE MAQUINARIA,confiable,85.0,2025-09-12
bf2aa068-80ea-5fd9-983d-86a846f2409e,a6f1d8c3-6194-5804-ac16-a98cc205559d,fbe11e7b-0503-50a7-9dda-c335f7bac08f,27eab39b-d505-5d1f-85ff-615de00b8e9a,"ALQUILER Y ARRENDAMIENTO DE OTROS TIPOS DE MAQUINARIA, EQUIPO Y BIENES TANGIBLES",confiable,80.0,2026-02-08
d4588a6b-7a7b-5a85-9d5a-0ff4cf10cdc5,a6f1d8c3-6194-5804-ac16-a98cc205559d,fbe11e7b-0503-50a7-9dda-c335f7bac08f,4fe1c8eb-2067-5121-a3d9-1f51f8059a92,"ALQUILER Y ARRENDAMIENTO DE OTROS TIPOS DE MAQUINARIA, EQUIPO Y BIENES TANGIBLES",confiable,80.0,2025-08-12
2d7935ba-4ebf-5870-bf28-bca837d6e443,a6f1d8c3-6194-5804-ac16-a98cc205559d,fbe11e7b-0503-50a7-9dda-c335f7bac08f,86ccc685-a2fb-562e-9ac7-debfacbcf12a,"ALQUILER Y ARRENDAMIENTO DE OTROS TIPOS DE MAQUINARIA,
EQUIPO Y BIENES TANGIBLES",confiable,75.0,2026-08-07
7af5a3e9-6705-5d49-8408-8d1b6e31ee35,a6f1d8c3-6194-5804-ac16-a98cc205559d,9b26f9ec-608c-5beb-b799-f7140f259fa9,27eab39b-d505-5d1f-85ff-615de00b8e9a,ASESORIA Y CONSULTORIA EMPRESARIAL,confiable,80.0,2026-02-20
f9a3cc43-9f45-5a6f-8cf3-74d104038bc9,a6f1d8c3-6194-5804-ac16-a98cc205559d,03bfe5e5-c446-578f-88ad-b25b95754521,27eab39b-d505-5d1f-85ff-615de00b8e9a,"VENTA DE VALVULAS, BRIDAS, ACERO",confiable,80.0,2026-03-11
5e52fd11-c8e7-565c-8fad-85888f5b1a3c,a6f1d8c3-6194-5804-ac16-a98cc205559d,17ee656a-dabb-563f-8c10-2e1c013eb1a7,27eab39b-d505-5d1f-85ff-615de00b8e9a,VENTA DE CAJAS Y BIDONES DE AGUA,confiable,75.0,2026-05-12
006ee080-39a9-5301-8da8-c882ebe9f750,a6f1d8c3-6194-5804-ac16-a98cc205559d,37ded685-5fe6-5c86-b454-a3245ad4bf55,6bf4bdda-3739-51f4-be22-48b0e38ea47a,TRANSPORTE DE CARGA POR CARRETERA,confiable,75.0,2026-03-26
521abf56-a124-51e2-859f-fba5069475f7,a6f1d8c3-6194-5804-ac16-a98cc205559d,6f178344-106a-5773-a890-da7b113b2829,27eab39b-d505-5d1f-85ff-615de00b8e9a,ALQUILER Y ARRENDAMIENTO DE OTRO,confiable,80.0,2026-04-08
02527481-7e2d-59fd-b128-c63ac069990d,a6f1d8c3-6194-5804-ac16-a98cc205559d,6f178344-106a-5773-a890-da7b113b2829,6bf4bdda-3739-51f4-be22-48b0e38ea47a,ALQUILER Y ARRENDAMIENTO DE OTRO,confiable,80.0,2025-10-10
d5a8361a-e234-5038-ad1b-42c3abc8f6bc,a6f1d8c3-6194-5804-ac16-a98cc205559d,7d72dd2d-74d2-5742-b41b-c7530e5de88b,27eab39b-d505-5d1f-85ff-615de00b8e9a,FERRETERIA,confiable,75.0,2026-06-01
bc6d643b-0d38-501b-bde9-9a84b5d07a2e,a6f1d8c3-6194-5804-ac16-a98cc205559d,11356732-44c1-551f-a663-f1b89a43c9b2,27eab39b-d505-5d1f-85ff-615de00b8e9a,VENTA POR MAYOR NO ESPECIALIZADA,confiable,75.0,2026-05-25
75377caf-f094-5c63-baaf-55ca08ddd3a2,a6f1d8c3-6194-5804-ac16-a98cc205559d,c1841acc-3af1-5366-a45f-403dfe72e32b,a18fb552-93f5-58a4-be11-ce3e5274f443,TRANSPORTE DE CARGA POR CARRETERA,confiable,80.0,2025-06-03
3879794b-cb0a-5bb7-91b6-19f1092174b7,a6f1d8c3-6194-5804-ac16-a98cc205559d,c1841acc-3af1-5366-a45f-403dfe72e32b,86ccc685-a2fb-562e-9ac7-debfacbcf12a,TRANSPORTE DE CARGA POR CARRETERA,confiable,80.0,2026-05-29
7ce9ba67-803d-589a-b89b-112b1959e709,a6f1d8c3-6194-5804-ac16-a98cc205559d,b14f4b29-31ac-56a4-b03c-3b282dcb019f,27eab39b-d505-5d1f-85ff-615de00b8e9a,Principal - 4923 - TRANSPORTE DE CARGA POR CARRETERA,confiable,80.0,2026-04-28
d2728276-9634-5034-b858-1a0bf0b0ccfa,a6f1d8c3-6194-5804-ac16-a98cc205559d,b14f4b29-31ac-56a4-b03c-3b282dcb019f,6bf4bdda-3739-51f4-be22-48b0e38ea47a,Principal - 4923 - TRANSPORTE DE CARGA POR CARRETERA,confiable,80.0,2025-10-30
46cf53ab-3bd4-5d6d-ac1e-2b6464c839a8,a6f1d8c3-6194-5804-ac16-a98cc205559d,b14f4b29-31ac-56a4-b03c-3b282dcb019f,a18fb552-93f5-58a4-be11-ce3e5274f443,Principal - 4923 - TRANSPORTE DE CARGA POR CARRETERA,confiable,80.0,2025-05-03
1fa6b7cb-b5e8-50f4-a58f-f2f183feb6ea,a6f1d8c3-6194-5804-ac16-a98cc205559d,61919884-6cfa-540f-a194-9c65dca7183f,27eab39b-d505-5d1f-85ff-615de00b8e9a,OTRAS ACTIVIDADES DE SERVICIOS PERSONALES N.C.P.,confiable,85.0,2026-03-17
d272531f-4069-53cd-917f-b997363dca7b,a6f1d8c3-6194-5804-ac16-a98cc205559d,aac39d56-c70d-5d23-9a28-34b80de91a35,27eab39b-d505-5d1f-85ff-615de00b8e9a,MOBILIARIO PROYECTO,confiable,80.0,2026-05-25
4a9f5de8-149d-5288-97b3-a3ee2d81efbd,a6f1d8c3-6194-5804-ac16-a98cc205559d,a1758b75-b06b-59f8-b171-fae955fa334b,27eab39b-d505-5d1f-85ff-615de00b8e9a,MANTENIMIENTO Y REPARAC. VEHICULOS.,confiable,75.0,2026-02-20
4d15342e-7958-570b-bf95-8d265bd1ef4b,a6f1d8c3-6194-5804-ac16-a98cc205559d,a1758b75-b06b-59f8-b171-fae955fa334b,58d5cd65-a153-5cb4-b6d6-5ea3c87fdd5f,MANTENIMIENTO Y REPARAC. VEHICULOS.,confiable,75.0,2025-08-24
314bd751-cafa-5cbc-82f9-faccdd211fdb,a6f1d8c3-6194-5804-ac16-a98cc205559d,c8a983d0-0288-5a5d-b363-2a639728593d,27eab39b-d505-5d1f-85ff-615de00b8e9a,VENTA AL POR MAYOR NO ESPECIALIZADA,confiable,80.0,2025-03-16
79ffecd2-8963-509a-889a-91f6d6892d32,a6f1d8c3-6194-5804-ac16-a98cc205559d,5405fd7b-4918-595a-9d8e-3247550fb6ac,27eab39b-d505-5d1f-85ff-615de00b8e9a,ARTICULOS DE FERRETERIA,confiable,90.0,2024-12-02
37eebc2c-2d8b-50e1-a123-7ce988f6f84b,a6f1d8c3-6194-5804-ac16-a98cc205559d,0a8e173f-11a1-531a-bb86-f0bfdca2daad,27eab39b-d505-5d1f-85ff-615de00b8e9a,ALQUILER Y ARRENDAMIENTO DE OTROS TIPOS DE MAQUINARIA,confiable,75.0,2026-02-20
